"item_creation_time","experiment_group","k_active_users"
2021-11-17,"30_discount",382
2021-11-17,"60_discount",370
2021-11-17,no_discount,384
2021-11-18,"30_discount",343
2021-11-18,"60_discount",398
2021-11-18,no_discount,369
2021-11-19,"30_discount",359
2021-11-19,"60_discount",322
2021-11-19,no_discount,318
2021-11-20,"30_discount",305
2021-11-20,"60_discount",279
2021-11-20,no_discount,277
2021-11-21,"30_discount",325
2021-11-21,"60_discount",325
2021-11-21,no_discount,287
2021-11-22,"30_discount",378
2021-11-22,"60_discount",375
2021-11-22,no_discount,427
2021-11-23,"30_discount",327
2021-11-23,"60_discount",365
2021-11-23,no_discount,395
2021-11-24,"30_discount",346
2021-11-24,"60_discount",358
2021-11-24,no_discount,327
2021-11-25,"30_discount",367
2021-11-25,"60_discount",384
2021-11-25,no_discount,337
2021-11-26,"30_discount",318
2021-11-26,"60_discount",327
2021-11-26,no_discount,276
2021-11-27,"30_discount",305
2021-11-27,"60_discount",288
2021-11-27,no_discount,258
2021-11-28,"30_discount",303
2021-11-28,"60_discount",272
2021-11-28,no_discount,285
2021-11-29,"30_discount",353
2021-11-29,"60_discount",406
2021-11-29,no_discount,405
2021-11-30,"30_discount",385
2021-11-30,"60_discount",375
2021-11-30,no_discount,380
2021-12-01,"30_discount",369
2021-12-01,"60_discount",424
2021-12-01,no_discount,372
