"user_id","experiment_group","UserType","is_verified","user_revenue","exposed_items"
173,no_discount,Private,0,,1
260,"60_discount",Private,0,,1
1555,"60_discount",Private,0,,2
2893,"30_discount",Private,0,174.76923076923075,3
3223,"60_discount",Company,0,69.23076923076923,2
5051,"30_discount",Private,0,158.30769230769232,5
5478,"60_discount",Company,0,40.07692307692308,2
5487,"30_discount",Private,0,318.69230769230774,9
5511,"60_discount",Private,0,,1
6007,no_discount,Private,0,,2
6159,"30_discount",Company,0,48.15384615384615,1
6439,no_discount,Private,0,173.23076923076923,7
6939,"30_discount",Company,0,53.92307692307692,1
10879,"60_discount",Private,0,116.46153846153847,4
11161,"60_discount",Company,0,37.61538461538461,1
11790,"60_discount",Company,0,42.230769230769226,1
12452,no_discount,Company,0,27.384615384615387,1
12867,"30_discount",Private,0,24.692307692307693,1
13148,"30_discount",Private,0,32.0,1
15119,"30_discount",Private,0,,1
15261,no_discount,Company,0,47.0,1
16399,"30_discount",Private,0,,1
16966,"30_discount",Private,0,36.15384615384615,3
17271,"60_discount",Private,1,,1
20085,"60_discount",Shop,0,96.3076923076923,3
21019,"30_discount",Private,0,36.61538461538461,1
21250,no_discount,Company,0,,2
21955,no_discount,Private,0,54.30769230769231,3
22983,"30_discount",Private,0,20.76923076923077,1
25664,no_discount,Private,0,,1
26472,"30_discount",Shop,0,33.15384615384615,2
31054,"30_discount",Shop,0,102.84615384615384,6
250807,no_discount,Company,0,40.07692307692308,2
250975,no_discount,Private,0,,1
251729,"30_discount",Company,0,94.0,2
253110,"30_discount",Private,0,37.769230769230774,1
253858,"60_discount",Shop,0,156.38461538461542,4
254642,"60_discount",Company,0,135.53846153846155,11
256786,"30_discount",Private,0,,1
258695,"60_discount",Private,0,2836.196153846154,79
258852,"30_discount",Company,0,56.73615384615385,2
259015,"30_discount",Company,0,42.38461538461539,2
259421,"60_discount",Private,0,,1
260134,"30_discount",Private,0,,1
260202,no_discount,Company,0,,2
260705,no_discount,Company,1,,1
260811,"60_discount",Shop,0,47.0,1
261143,"60_discount",Private,0,,1
261252,"30_discount",Company,0,,1
265077,"60_discount",Company,0,,1
265167,no_discount,Company,0,,1
265786,"30_discount",Private,1,246.3846153846154,6
266774,"60_discount",Private,0,,1
267721,"30_discount",Private,0,,1
268265,no_discount,Private,0,133.53846153846155,3
268686,"60_discount",Private,0,979.6923076923077,7
268814,"60_discount",Private,0,,1
268975,"30_discount",Company,0,26.23076923076923,1
269012,"60_discount",Company,0,,1
269071,"30_discount",Private,0,53.07692307692308,1
270258,"30_discount",Private,0,,2
270346,no_discount,Company,0,67.3076923076923,2
271121,"60_discount",Private,0,40.07692307692308,1
272875,"60_discount",Company,0,,1
272996,no_discount,Private,0,,1
274589,"30_discount",Private,0,28.53846153846154,1
274822,"30_discount",Private,0,40.07692307692308,1
275894,no_discount,Private,0,58.15384615384615,2
276726,"30_discount",Private,0,,2
280287,"60_discount",Private,0,26.23076923076923,1
282930,no_discount,Private,0,,1
500367,"30_discount",Private,0,45.84615384615385,1
500883,no_discount,Private,0,80.15384615384616,2
501028,no_discount,Private,0,40.07692307692308,2
501468,"60_discount",Company,0,,1
501585,no_discount,Company,1,,1
502822,"60_discount",Company,0,,1
503171,"60_discount",Company,0,,1
503925,"60_discount",Private,0,48.15384615384616,2
504181,no_discount,Shop,0,93.84615384615384,2
504607,no_discount,Company,0,,2
504819,"60_discount",Company,0,28.53846153846154,2
505046,"60_discount",Company,0,37.769230769230774,1
506056,no_discount,Private,0,28.384615384615387,1
506230,"60_discount",Private,0,,1
506435,"60_discount",Private,0,,1
506830,"30_discount",Company,0,32.0,1
507603,"60_discount",Private,0,,1
507685,"30_discount",Private,0,40.07692307692308,1
508822,no_discount,Private,0,30.846153846153847,1
508899,"30_discount",Shop,0,40.07692307692308,1
508961,"60_discount",Private,0,116.23076923076923,2
509408,"30_discount",Private,0,,1
509764,"30_discount",Company,0,69.54307692307692,3
510138,"60_discount",Company,0,55.92307692307693,2
510535,"60_discount",Private,0,,1
511538,"30_discount",Company,0,,1
513957,no_discount,Company,0,,1
513985,"60_discount",Private,0,,1
514205,"60_discount",Company,1,467.38692307692315,9
514848,no_discount,Company,1,28.53846153846154,1
515543,no_discount,Company,0,,1
519017,no_discount,Private,0,75.38461538461539,2
519787,"30_discount",Private,0,,1
520182,"30_discount",Company,0,,1
521195,no_discount,Company,0,136.3076923076923,3
521582,"30_discount",Private,0,,1
521976,no_discount,Private,0,,1
522097,"60_discount",Company,0,65.46153846153847,2
522138,no_discount,Company,0,,1
522254,no_discount,Company,1,87.07692307692308,2
522511,no_discount,Shop,0,,1
523021,"60_discount",Company,0,54.230769230769226,3
523312,no_discount,Private,0,40.07692307692308,1
524706,"30_discount",Private,0,,1
527130,"30_discount",Private,0,,1
527401,"30_discount",Private,0,48.15384615384615,1
531122,"30_discount",Company,0,27.384615384615387,1
750130,no_discount,Company,0,142.15384615384616,3
750337,"60_discount",Shop,0,48.07692307692308,2
750370,no_discount,Company,0,,1
751450,no_discount,Private,0,,1
751524,"60_discount",Private,0,34.30769230769231,2
751753,"60_discount",Private,0,211.0,5
751919,"30_discount",Company,1,36.61538461538461,2
752607,"30_discount",Private,0,95.15384615384616,2
752799,no_discount,Private,0,47.0,1
752843,no_discount,Company,0,63.92307692307693,2
753031,"60_discount",Private,0,42.38461538461539,1
754119,"60_discount",Company,0,,1
755209,"60_discount",Private,0,48.07692307692308,1
755268,"30_discount",Private,1,80.15384615384616,2
756164,"60_discount",Company,0,28.53846153846154,1
757315,"60_discount",Private,0,,1
758960,"30_discount",Company,0,1173.293846153846,16
759138,"60_discount",Private,0,,1
759439,no_discount,Company,0,,2
759834,"60_discount",Private,0,,1
759901,no_discount,Company,0,73.23076923076923,2
761066,"30_discount",Company,0,,1
762084,"30_discount",Company,0,37.769230769230774,1
762554,no_discount,Private,0,,1
762565,"60_discount",Private,0,37.769230769230774,1
762828,no_discount,Private,0,37.769230769230774,1
763150,"30_discount",Private,0,224.53846153846155,6
765432,"60_discount",Private,0,,2
767993,no_discount,Company,0,58.53846153846154,2
769728,no_discount,Private,0,,1
771006,"30_discount",Private,0,,1
1000294,"60_discount",Company,0,126.0,3
1000301,no_discount,Company,0,,1
1000339,no_discount,Shop,1,,1
1000444,"60_discount",Shop,0,29499.265384614973,1428
1000513,no_discount,Private,0,47.0,2
1001315,"30_discount",Company,1,37.82923076923077,1
1002953,no_discount,Company,0,968.6153846153843,30
1003663,"60_discount",Private,0,,1
1003790,"30_discount",Company,0,57.07692307692308,2
1004318,"30_discount",Company,0,51.61538461538461,1
1004385,"60_discount",Company,0,,1
1004979,"30_discount",Private,0,28.53846153846154,1
1005043,no_discount,Company,0,,1
1005304,"30_discount",Company,0,56.07692307692308,1
1006288,"60_discount",Shop,0,93.92307692307692,3
1006341,"30_discount",Company,0,,1
1007254,no_discount,Private,0,47.0,1
1007444,no_discount,Company,0,37.769230769230774,1
1008280,no_discount,Company,0,65.07692307692308,2
1008994,"30_discount",Private,0,104.69230769230771,3
1009413,"30_discount",Company,0,,1
1009627,"60_discount",Company,0,122.0,4
1009634,"30_discount",Private,0,,1
1011506,"30_discount",Private,0,33.15384615384615,1
1011566,"60_discount",Private,1,64.0,2
1011853,"60_discount",Company,1,30.692307692307693,1
1012379,"30_discount",Company,0,28.384615384615387,1
1012797,"60_discount",Private,0,,1
1013204,"60_discount",Company,0,73.23076923076923,2
1013848,"60_discount",Company,1,235.6923076923077,4
1014169,"60_discount",Private,0,79.3076923076923,3
1014655,no_discount,Shop,0,,1
1015054,no_discount,Company,0,44.53846153846154,1
1015267,no_discount,Private,0,,1
1015510,"30_discount",Private,1,163.69230769230768,6
1015534,"30_discount",Private,0,37.769230769230774,1
1016314,"60_discount",Private,0,269.3076923076923,8
1017361,"30_discount",Shop,0,35.46153846153846,1
1019022,no_discount,Private,0,,1
1019713,no_discount,Private,0,,1
1251377,no_discount,Private,0,56.07692307692308,1
1251740,no_discount,Private,0,120.23076923076924,3
1253365,"60_discount",Private,0,,1
1256314,no_discount,Private,0,47.0,1
1256503,no_discount,Private,0,,1
1258012,"60_discount",Company,0,,1
1258535,no_discount,Company,0,,3
1259524,no_discount,Private,0,60.07692307692308,2
1259630,"30_discount",Private,1,102.76923076923077,3
1259738,"30_discount",Private,0,,1
1261044,"30_discount",Company,0,87.76923076923077,3
1262005,"30_discount",Company,0,56.07692307692308,1
1262613,no_discount,Company,0,84.76923076923077,2
1262643,"30_discount",Private,0,,1
1264173,"60_discount",Private,0,47.0,1
1264639,"30_discount",Private,1,64.0,2
1264931,"60_discount",Company,0,17.0,1
1265319,"30_discount",Company,0,,1
1266509,"30_discount",Private,0,40.07692307692308,1
1268574,no_discount,Private,0,28.53846153846154,1
1500175,"60_discount",Company,0,200.1538461538462,4
1500244,no_discount,Company,0,,1
1500291,no_discount,Shop,0,57.0,4
1500716,"60_discount",Private,0,160.30769230769232,4
1500839,"30_discount",Company,0,72.61538461538461,3
1501545,"30_discount",Company,0,51.46153846153846,1
1501627,"30_discount",Private,0,35.46153846153846,1
1501959,"60_discount",Company,0,86.38461538461539,4
1502355,"60_discount",Company,0,,3
1502535,"60_discount",Company,1,4138.786153846152,90
1504046,"60_discount",Private,0,,1
1504279,"30_discount",Private,0,,1
1504363,no_discount,Private,0,,1
1504579,no_discount,Company,0,48.15384615384615,1
1504909,"30_discount",Company,1,,1
1506180,no_discount,Private,0,,1
1506654,"30_discount",Company,0,,1
1508700,no_discount,Private,0,40.07692307692308,1
1509007,"60_discount",Company,0,,1
1509297,"30_discount",Company,0,,1
1509447,no_discount,Company,0,,1
1509863,no_discount,Company,0,133.92307692307693,3
1510215,"60_discount",Private,0,36.61538461538461,1
1510849,"30_discount",Private,0,47.0,1
1511373,"30_discount",Shop,0,,1
1511574,no_discount,Company,0,,1
1514023,no_discount,Company,0,,1
1514532,no_discount,Company,0,,1
1514825,no_discount,Shop,0,74.61538461538461,1
1515711,"60_discount",Company,0,,1
1515717,"60_discount",Private,0,,1
1515967,no_discount,Company,0,,1
1516772,"30_discount",Private,0,48.15384615384615,1
1517040,"60_discount",Company,0,,1
1519177,"60_discount",Private,0,,1
1520671,"30_discount",Company,0,118.76923076923077,4
1521072,no_discount,Company,0,36.61538461538461,1
1521267,"30_discount",Company,0,,1
1522029,no_discount,Private,0,,1
1524539,no_discount,Private,0,100.92307692307692,2
1527014,no_discount,Company,0,110.84615384615384,2
1528335,"30_discount",Company,0,40.07692307692308,2
1528518,no_discount,Private,0,26.23076923076923,1
1529582,no_discount,Company,0,42.38461538461539,1
1529678,"60_discount",Private,0,42.38461538461539,1
1529910,"30_discount",Private,0,126.37384615384616,9
1530437,"30_discount",Company,1,40.07692307692308,1
1530635,"60_discount",Private,1,40.07692307692308,1
1531556,no_discount,Private,0,77.84615384615385,2
1531995,no_discount,Private,1,,1
1532116,"30_discount",Private,0,1665.4615384615386,17
1532625,"60_discount",Company,1,48.92307692307692,3
1532726,"30_discount",Private,0,46.84615384615385,1
1532992,"30_discount",Company,0,32.0,1
1533458,"30_discount",Private,0,,1
1534237,no_discount,Private,0,80.15384615384616,3
1534348,"60_discount",Private,0,,1
1534723,"60_discount",Company,0,,1
1535429,"60_discount",Private,0,,1
1536149,"60_discount",Private,0,40.07692307692308,1
1537505,no_discount,Private,0,34.30769230769231,1
1538025,"60_discount",Private,0,68.61538461538461,2
1538217,"60_discount",Company,0,85.60846153846154,3
1539025,no_discount,Private,0,34.30769230769231,1
1539978,no_discount,Company,0,,1
1540686,"30_discount",Company,1,,1
1541898,"30_discount",Private,1,36.61538461538461,1
1542612,no_discount,Company,1,31.923076923076923,1
1543130,no_discount,Company,0,,1
